Date;Lat;Lon;Dep;Mag;Place
2016.05.17;38.2717;42.4793;007.8;3.9;GOKAY-HIZAN (BITLIS) [ .59 km]
2016.05.14;36.1062;29.6845;005.0;3.8;BAYINDIR-KAS (ANTALYA) [ 8.93 km]
2016.05.13;35.5323;31.6650;005.0;3.9;AKDENIZ
2016.05.11;37.4747;26.6958;009.7;3.7;ONIKI ADALAR (AKDENIZ)
2016.05.09;39.9400;39.8480;005.0;4.1;BUYUKGELENGEC-CAYIRLI (ERZINCAN) [ 1.32 km]
2016.05.07;35.7607;27.4142;010.9;3.5;AKDENIZ
2016.05.05;36.8525;26.5292;008.8;4.0;AKDENIZ
2016.05.01;40.8578;31.7098;005.4;3.9;MESCICELE- (BOLU) [ 1.92 km]
2016.04.27;38.9527;26.0237;008.2;4.0;EGE DENIZI
2016.04.27;35.6362;31.7423;031.4;3.8;AKDENIZ
2016.04.26;36.9673;36.9995;008.3;4.0;GUNDEGER-MUSABEYLI (KILIS) [ .79 km]
2016.04.25;39.6583;27.8607;009.1;3.7;BALIKESIR (BALIKESIR) [ 2.52 km]
2016.04.23;36.8738;36.5775;014.2;4.0;SAPANOZU-HASSA (HATAY) [ 1.82 km]
2016.04.23;36.8758;36.6075;014.5;3.8;SAPANOZU-HASSA (HATAY) [ 3.04 km]
2016.04.19;38.8833;43.5293;004.2;4.1;ERMISLER- (VAN) [ 2.68 km]
2016.04.18;38.4517;32.0347;005.0;3.8;AVDAN-ILGIN (KONYA) [ 6.86 km]
2016.04.16;36.7790;28.0210;068.8;3.8;GOKOVA KORFEZI (AKDENIZ)
2016.04.16;38.9982;38.9728;005.0;4.0;SARIBALTA-CEMISGEZEK (TUNCELI) [ 2.38 km]
2016.04.10;41.1008;33.8437;007.3;3.9;YUKARIBERCIN-TOSYA (KASTAMONU) [ 5.89 km]
2016.04.07;37.9427;35.0790;005.0;4.1;BADEMDERE-CAMARDI (NIGDE) [North East 2.7 km]
2016.04.06;38.5468;26.7237;018.0;4.0;IZMIR KORFEZI (EGE DENIZI)
2016.03.31;36.9658;35.8467;013.6;4.1;KORKUYU-CEYHAN (ADANA) [ 2.79 km]
2016.03.30;36.0778;29.6997;007.6;4.0;KAS ACIKLARI-ANTALYA (AKDENIZ)
2016.03.28;40.7320;27.5407;015.5;3.7;MARMARA DENIZI
2016.03.28;38.6920;26.4025;015.8;3.9;HASSEKI-KARABURUN (IZMIR) [ 3.38 km]
2016.03.28;36.0870;35.6928;002.6;3.8;AKDENIZ
2016.03.27;40.8250;27.9007;014.7;3.7;MARMARA DENIZI
2016.03.24;36.0617;29.6653;005.0;4.3;KAS ACIKLARI-ANTALYA (AKDENIZ)
2016.03.22;35.3985;32.5300;077.1;4.0;AKDENIZ
2016.03.22;35.6460;31.7212;072.9;4.7;AKDENIZ
2016.03.21;36.2418;29.0945;021.7;3.5;AKDENIZ
2016.03.19;39.1562;29.1107;005.9;3.6;SOGUT-SIMAV (KUTAHYA) [ 4.14 km]
2016.03.19;39.1575;29.1133;007.7;3.7;SOGUT-SIMAV (KUTAHYA) [ 4.4 km]
2016.03.18;36.7415;26.6977;014.4;3.7;AKDENIZ
2016.03.12;36.5458;27.9633;087.8;4.1;BOZBURUN ACIKLARI-MUGLA (AKDENIZ)
2016.03.11;36.1242;27.5510;080.0;3.7;AKDENIZ
2016.03.10;40.5467;30.6348;007.4;3.7;HANYATAK-AKYAZI (SAKARYA) [ .49 km]
2016.03.10;39.9972;27.6328;005.5;3.7;SEBEPLI-GONEN (BALIKESIR) [ 2.75 km]
2016.02.27;36.3698;34.5885;021.2;3.7;AKDENIZ
2016.02.26;37.8912;43.5047;005.0;3.9;YALINCA-GURPINAR (VAN) [ 3.61 km]
2016.02.26;37.0607;27.6152;003.2;3.8;PINARLIBELEN-BODRUM (MUGLA) [ 2.21 km]
2016.02.26;36.6122;44.8155;001.3;3.7;ANADAG-SEMDINLI (HAKKARI) [ 62.91 km]
2016.02.18;39.0148;35.8483;003.7;4.1;PALAS-SARIOGLAN (KAYSERI) [ 2.12 km]
2016.02.18;35.3335;26.2228;005.0;3.9;GIRIT ADASI (AKDENIZ)
2016.02.18;35.1460;26.3293;005.4;4.6;GIRIT ADASI (AKDENIZ)
2016.02.15;35.0385;26.8905;005.0;3.8;GIRIT ADASI ACIKLARI (AKDENIZ)
2016.02.15;36.1268;29.6803;005.0;3.9;BAYINDIR-KAS (ANTALYA) [ 6.63 km]
2016.02.10;35.3333;27.7857;008.1;3.7;AKDENIZ
2016.02.06;38.7768;27.7880;006.2;4.0;SAZOBA-AKHISAR (MANISA) [ 2.1 km]
2016.02.05;36.9618;29.3910;005.3;4.0;ELMALIYURT-GOLHISAR (BURDUR) [ 2.34 km]
2016.02.04;39.0730;37.7958;005.0;3.7;KARAPINAR-HEKIMHAN (MALATYA) [ 1.14 km]
2016.02.04;39.3067;28.1177;005.0;3.7;ARMUTLU-SINDIRGI (BALIKESIR) [South East 2.1 km]
2016.02.03;37.7180;37.4487;005.0;3.8;BOZLAR-CAGLAYANCERIT (KAHRAMANMARAS) [ 1.97 km]
2016.02.02;38.8535;37.8305;005.0;4.1;SARIKIZ-HEKIMHAN (MALATYA) [ 1.5 km]
2016.01.31;38.4348;26.7437;017.6;3.6;IZMIR KORFEZI (EGE DENIZI)
2016.01.30;40.7917;28.0575;009.8;3.5;MARMARA DENIZI
2016.01.23;38.0565;42.7040;003.7;4.4;MEYDAN-HIZAN (BITLIS) [South East 3.4 km]
2016.01.23;36.7230;29.5137;008.0;4.1;BAYIRKOY-FETHIYE (MUGLA) [South East 3.9 km]
2016.01.22;39.2967;40.2553;001.9;3.9;YAZGUNU-KIGI (BINGOL) [North 3.2 km]
2016.01.20;39.1005;27.9118;007.7;3.6;DOLMADEGIRMEN-AKHISAR (MANISA) [ 2.03 km]
2016.01.19;36.7153;26.9392;143.1;4.1;KOS ADASI (AKDENIZ)
2016.01.19;39.2260;29.3775;009.1;3.6;KARBASAN-HISARCIK (KUTAHYA) [East 1.1 km]
2016.01.18;40.7168;32.7497;001.7;3.7;YUMAKLI-CERKES (CANKIRI) [ .7 km]
